Group,Content,TotalIDs,KeepID,DeleteIDs
106,"The warranty ____ accidental damage.",3,1193,"1284, 1418"
107,"The report focuses on sales performance ____ the last quarter.",3,1194,"1287, 1415"
108,"All visitors must ____ their badges at all times.",3,1195,"1289, 1425"
109,"The updated guidelines are available ____ the company intranet.",3,1207,"1302, 1396"
110,"What will the man probably do next?",3,1234,"1351, 1447"
111,"What does the woman suggest the team should do?",3,1235,"1352, 1446"
112,"What does the speaker remind listeners to do?",3,1240,"1334, 1451"
113,"What problem does the man report?",3,1244,"1339, 1433"
114,"What is the woman looking for?",3,1246,"1341, 1436"
115,"What will listeners receive tomorrow?",3,1248,"1342, 1435"
116,"What did the woman forget to do?",3,1249,"1343, 1439"
117,"Where will the man go this afternoon?",3,1250,"1344, 1434"
118,"What is the speaker mainly announcing?",3,1251,"1345, 1442"
119,"What does the woman offer to do?",3,1252,"1346, 1441"
120,"Where are the speakers most likely talking?",3,1253,"1363, 1460"
121,"What will the company do next month?",3,1254,"1347, 1438"
122,"What will the man do tomorrow?",3,1258,"1366, 1465"
123,"What are the speakers waiting for?",3,1259,"1368, 1466"
124,"What does the woman ask the man to bring?",3,1260,"1354, 1461"
125,"Where will the training be held?",3,1261,"1355, 1462"
126,"What does the man recommend?",3,1262,"1356, 1464"
127,"What are the speakers concerned about?",3,1263,"1357, 1463"
128,"What is the woman planning to buy?",3,1264,"1358, 1478"
129,"What does the man offer?",3,1265,"1359, 1467"
130,"What does the woman want to confirm?",3,1266,"1360, 1455"
131,"What is the likely relationship between the speakers?",3,1267,"1361, 1454"
132,"Why does the manager ask for volunteers?",3,1268,"1362, 1456"
133,"What is the main purpose of the announcement?",3,1269,"1378, 1480"
134,"According to the announcement, what will happen this weekend?",3,1270,"1379, 1469"
135,"What is being promoted?",3,1272,"1381, 1473"
136,"What is the speaker mainly informing about?",3,1273,"1382, 1471"
137,"What will take place at noon?",3,1274,"1383, 1474"
138,"What is being offered to customers?",3,1275,"1370, 1479"
139,"Who is the intended audience?",3,1276,"1369, 1483"
140,"What is the speaker requesting?",3,1277,"1371, 1475"
141,"What change will take effect next week?",3,1278,"1372, 1476"
142,"What is the deadline mentioned?",3,1279,"1373, 1482"
143,"What is the speaker apologizing for?",3,1280,"1374, 1481"
144,"What is the audience encouraged to do?",3,1281,"1375, 1468"
145,"What item is NOT included?",3,1282,"1376, 1472"
146,"What will be provided?",3,1283,"1377, 1477"
147,"The store is open _____ 9 a.m. and   1 p.m. on weekdays.",2,570,"784"
148,"Look at the picture. What is the driver doing?",2,945,"1058"
149,"Look at the picture. What is beside the doorway?",2,948,"1056"
150,"Look at the picture. What are the musicians doing?",2,953,"1067"
151,"Look at the picture. Where is the man standing?",2,955,"1068"
152,"Look at the picture. What is the woman reaching for?",2,957,"1069"
153,"Look at the picture. What is the cashier doing?",2,962,"984"
154,"Look at the picture. What is posted on the wall?",2,964,"989"
155,"Look at the picture. What is arranged on the shelf?",2,965,"990"
156,"Look at the picture. What are the gardeners doing?",2,966,"991"
157,"Look at the picture. What are the athletes doing?",2,967,"992"
158,"Look at the picture. What is the nurse doing?",2,968,"994"
159,"Look at the picture. What are the painters doing?",2,969,"993"
160,"Look at the picture. What are the diners doing?",2,971,"996"
161,"Look at the picture. What is the librarian doing?",2,972,"997"
162,"Look at the picture. What is being delivered?",2,973,"998"
163,"Look at the picture. What is the presenter doing?",2,974,"999"
164,"Look at the picture. What is written on the sign?",2,975,"1000"
165,"Look at the picture. What are the books placed on?",2,976,"1001"
166,"Look at the picture. What is the vendor selling?",2,977,"1003"
167,"Look at the picture. What is the mechanic fixing?",2,978,"1002"
168,"Look at the picture. What is stacked on the floor?",2,979,"1004"
169,"Look at the picture. What is the photographer doing?",2,982,"1005"
170,"Look at the picture. What is the cleaner doing?",2,983,"1008"
171,"What is the woman typing on?",2,1016,"1041"
172,"What are the boxes labeled with?",2,1017,"1044"
173,"What is the clerk handing to the customer?",2,1018,"1042"
174,"What are the people waiting for?",2,1021,"1043"
175,"Where should I park my car?",2,1051,"1592"
176,"[Email] Thank you for your purchase. Your order will ship within 2 business days. The email ____.",2,1126,"1225"
177,"[Notice] Conference room B is reserved from 2 to 5 p.m. The notice ____.",2,1133,"1232"
178,"Why does the speaker apologize?",2,1236,"1445"
179,"What does the man ask for?",2,1237,"1450"
180,"What will the woman bring to the meeting?",2,1238,"1449"
181,"What is the man worried about?",2,1239,"1453"
182,"What will the woman most likely do next?",2,1242,"1336"
183,"What does the speaker say about the schedule?",2,1243,"1340"
184,"What does the man request?",2,1245,"1337"
185,"Why is the meeting postponed?",2,1247,"1338"
186,"What did the speaker promise?",2,1348,"1444"
187,"What is the man asking about?",2,1349,"1440"
188,"What does the caller need?",2,1350,"1448"
189,"Why is the woman late?",2,1353,"1443"
190,"Who most likely is the speaker?",2,1510,"1606"
191,"What is being advertised?",2,1515,"1610"
192,"What is the purpose of the talk?",2,1531,"1607"
